ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
195,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,2.00,58,,05D,Special News Topics,Editor's Choice: Sports,Kobe,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Hom,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,09-SC,Combination Print & Digital,45,,,,,,,,,,,,
720,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,10Cd,Special Sections,Sports/Inside Page(s),Kobe SS: Statistically Speaking,Len  DeGroot,Director of Data Visualization,Lorena Elebee,Senior Graphic Artist,Joe Fox,Graphic Artist,,,,,,,,,,,,,,,,,,,03-WBD,World's Best-Designed™,2,,,,,,,,,,,,
996,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,09-SC,MED-LAT1,04-MED,,SL,,58,,10Cc,Special Sections,Sports/Section Cover,Kobe SS Cover,Michael Whitley,A.M.E.,Calvin Hom,Director/Photography,Jay Clendenin,Photographer,,,,,,,,,,,,,,,,,,,,,1144,,,,,,,,,,,,
742,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT1,04-MED,,SL,,58,,10Ac,Special Sections,Sports/With ads,Kobe,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Allison Hong,Designer,Calvin Hom,Director of Photography,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT2,04-MED,,SL,0.50,36,,11D,Editorial Cartoons,,Trump Nation,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MED-LAT2,04-MED,,SL,,36,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over",Trump Nation,Kelli Sullivan,Deputy Design Director,Michael Whitley,A.M.E.,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT3,04-MED,,SL,1.00,45,,07Ba,Features Design [Pages],"Arts & Entertainment/Broadsheet 175,000 and over",Oscar Preview: Cover,Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Jonathan Bartlett,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT3,04-MED,,SL,,45,,19,Miscellaneous,,Oscar Preview: cover,Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Jonathan Bartlett,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT3,04-MED,,SL,,45,,10Ce,Special Sections,Features/Section Cover,Oscar Preview: Cover,Michael Whitley,A.M.E.,Paul Gonzales,Deputy Design Director,Jonathan Baratlett,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MED-LAT4,04-MED,,SL,,51,,03Ha,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",RIO 2016: SS,Michael Whitley,A.M.E.,George Wilhelm,Photo Editor,Jay Clendenin,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,MED-LAT4,04-MED,,SL,,51,,03Fa,News Design [Pages],"Sports/Broadsheet 175,000 and over",Olympics SS:  Philip Chew and Jamie Subandhi,Michael Whitley,A.M.E.,Jay Clendenin,Photographer,George Wilhelm,Photo Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT4,04-MED,,SL,,51,,15B,Photography [Multiple Photos],Multi-Day Photo Series,Rio 2016 SS,Michael Whitley,A.M.E.,George Wilhelm,Director of Photography,Jay Clendenin,Photographer,Tim Hubbard,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,08-VISUAL,MED-LAT4,04-MED,,SL,,51,,15B,Photography [Multiple Photos],Multi-Day Photo Series,Rio 2016,Jay Clendenin,Photographer,Wally Skali,Photographer,George Wilhelm,Photo Editor,Robert Gauthier,Photographer,Michael Whitley,A.M.E.,Kelli Sullivan,Deputy Design Director,Tim Hubbard,Designer,Allison Hong,Designer,Jason Clark,Designer,,,,,,,,,,,,,,,,,,,,,
41,,Los Angeles Times,Los Angeles,Calif.,,Silver,04-MED,MED-LAT4,04-MED,,SL,1.00,51,,14G,Photography [Single Photos],Portrait,Rio 2016: Swimming,Jay Clendenin,Photographer,George Wilhelm,Photo Editor,Michael Whitley,A.M.E.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
