ref,the,publication,city,state,country,award,section,section_multiple,CHAP,SUBFOLDER,page_designer,est,page,comment,cat,general_category,specific_category,headline,name1,title1,name2,title2,name3,title3,name4,title4,name5,title5,name6,title6,name7,title7,name8,title8,name9,title9,name10,title10,,SECTION,PRELIM COUNT,,SECTION,GENERAL CATEGORY,PRELIM COUNT,,CHAP,winners,entries,,,SUBFOLDER,,,,AWARD,
104,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,MULT-WP3,05-MULT,,Rachael,,108,,11Aa,Opinion Design,"Single Page/Broadsheet 175,000 and over","The Worst Year in Washington, inside",Chris Rukan,Art Director,Andi Meier,Illustrator,Greg Manifold,Design Director,Brian Gross,Deputy Design Director,Suzette Moyer,Senior Designer,Emily Chow,Senior Designer,Adam Kushner,Outlook Editor,Marisa Bellack,Deputy Outlook Editor,Mike Madden,Deputy Outlook Editor,,,,,,,,,,,,,,,,,,,,,
657,The,Washington Post,Washington,D.C.,,Award of Excellence,07-FEA,MULT-WP4,05-MULT,,Rachael,0.50,108,,12C,Magazines,Cover Design,Off Script/A photographer cuts through the traditional campaign trappings,Beth Broadwater,Art Director,Mark Peterson,Photographer,Dudley Brooks,Photo Editor,Suzette Moyer,Design Editor,Greg Manifold,Design Director,Lynn Medford,Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,The,Washington Post,Washington,D.C.,,Award of Excellence,07-FEA,MULT-WP4,05-MULT,,Rachael,,108,,12Ea,Magazines,Story Design/News,Off Script/A photographer cuts through the traditional campaign trappings,Beth Broadwater,Art Director,Mark Peterson,Photographer,Dudley Brooks,Photo Editor,Suzette Moyer,Design Editor,Greg Manifold,Design Director,Lynn Medford,Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,The,Washington Post,Washington,D.C.,,Award of Excellence,09-SC,MULT-WP5,05-MULT,,Rachael,,109,,20A,Combination Print & Digital,News,Lithium-Ion Batteries,Matt Callahan,Designer,Chris Rukan,Designer,Emily Chow,Design Editor,Michael Robinson Chavez,Photographer,Jorge Ribas,Video Editor,Lazaro Gamio,Graphics Editor,Tim Meko,Graphics Editor,MaryAnne Golon,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,
650,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,MULT-WP5,05-MULT,,Rachael,,109,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",The cobalt pipeline,Chris Rukan,Designer,Matt Callahan,Designer,Michael Robinson Chavez,Photographer,Thomas Simonetti,Photo Editor,Greg Manifold,Design Director,Emily Chow,Senior Designer,Tim Meko,Graphics Reporter,Lazaro Gamio,Graphics Assignment Editor,MaryAnne Golon,Director of Photography,Kat Downs,Graphics Director,,,,,,,,,,,,,,,,,,,
271,The,Washington Post,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-WP5,05-MULT,,Rachael,,109,,15B,Photography [Multiple Photos],Multi-Day Photo Series,"Mobile Power, human toll",Michael Robinson Chavez,Photographer,Thomas Simonetti,Photo Editor,MaryAnne Golon,Director of Photography,Thomas  Simonetti,Photo Editor,Chris Rukan,Designer,Matt Callahan,Designer,Greg Manifold,Design Director,Emily Chow,Senior Designer,,,,,,,,,,,,,,,,,,,,,,,
92,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,MULT-WP5,05-MULT,,Rachael,0.50,109,,05C,Special News Topics,Editor's Choice: International,"Mobile power, human toll",Chris Rukan,Designer,Matt Callahan,Designer,Michael Robinson Chavez,Photographer,Thomas Simonetti,Photo Editor,Greg Manifold,Design Director,Emily Chow,Senior Designer,Tim Meko,Graphics Reporter,Lazaro Gamio,Graphics Assignment Editor,MaryAnne Golon,Director of Photography,Kat Downs,Graphics Director,,,,,,,,,,,,,,,,,,,
476,The,Washington Post,Washington,D.C.,,Award of Excellence,07-FEA,MULT-WP6,05-MULT,,Rachael,0.20,110,,07Ba,Features Design [Pages],"Arts & Entertainment/Broadsheet 175,000 and over",Being Bill,Michael Johnson,Designer,Tony Rodriguez,Illustrator,Geoff Edgers,Writer,Greg Manifold,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,The,Washington Post,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-WP6,05-MULT,,Rachael,,110,,13Fa,Illustration,Portrait or Caricature/Color,Being Bill,Tony Rodriguez,Illustrator,Michael Johnson,Art Director,Suzette Moyer,Design Editor,Greg Manifold,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,The,Washington Post,Washington,D.C.,,Award of Excellence,09-SC,MULT-WP7,05-MULT,,Rachael,,110,,20B,Combination Print & Digital,Sports,NBA 100,Jose Soto,Designer,Lazaro Gamio,Graphics Editor,Emily Chow,Design Editor,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,Tim Bontemps,Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,MULT-WP7,05-MULT,,Rachael,0.25,110,,03Fa,News Design [Pages],"Sports/Broadsheet 175,000 and over",NBA Top 100,Jose Soto,Designer,Tim Bontemps,Reporter,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,The,Washington Post,Washington,D.C.,,Award of Excellence,07-FEA,MULT-WP8,05-MULT,,Rachael,0.25,110,,07Ga,Features Design [Pages],"A&E Inside Page/Broadsheet 175,000 and over",Summer posters,Lizzie Hart,Designer,Suzette Moyer,Design Editor,Amy King,Design Director,Greg Manifold,Design Director,Sam Island,Illustrator,Martin Gee,Illustrator,Patrik Svensson,Illustrator,Cristiano Siqueira,Illustrator,Molly Stanard,Illustrator,Ulla Puggaard,Illustrator,,,,,,,,,,,,,,,,,,,
810,The,Washington Post,Washington,D.C.,,Award of Excellence,08-VISUAL,MULT-WP8,05-MULT,,Rachael,,110,,13I,Multiple Illustrations,,Summer Movie Posters,Suzette Moyer,Design Editor,Amy King,"Design Director, Emerging Prod",Cristiano Siqueira,Illustrator,Sam Island,Illustrator,Molly Stanard,Illustrator,Andrey Kasay,Illustrator,Martin Gee,Illustrator,Joe Wilson,Illustrator,Patrik Svensson,Illustrator,Ulla Puggaard,Illustrator,,,,,,,,,,,,,,,,,,,
944,The,Washington Post,Washington,D.C.,,Award of Excellence,09-SC,MULT-WP9,05-MULT,,Rachael,,110,,20B,Combination Print & Digital,Sports,Ovechkin’s 500,Jake Crump,Designer,Jose Soto,Designer,Eddie Alvarez,Designer,Emily Chow,Design Editor,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,Stephen Lorenzo,Reporter,Mike Hume,Sports Editor,,,,,,,,,,,,,,,,,,,,,,,
611,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,MULT-WP9,05-MULT,,Rachael,0.20,110,,03Fa,News Design [Pages],"Sports/Broadsheet 175,000 and over",Branden Holtby 48,Jose Soto,Designer,Isabelle Khurshudyan,Reporter,John McDonnell,Photographer,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,South China Morning Post,Hong Kong,,CHINA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,41.20,128,,04C,Breaking News Topics,Editor's Choice: International,Supporting Cast,Marcelo Duhalde,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,128,,04C,Breaking News Topics,Editor's Choice: International,Britain exits the E.U.,Michael Johnson,Designer,Dwuan June,Designer,Mike Plunkett,Designer,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,Tim Curran,Editor,Darla Cameron,Graphics,,,,,,,,,,,,,,,,,,,,,,,,,
293,El,Colombiano,Envigado, ,COLOMBIA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,128,,04A,Breaking News Topics,Editor's Choice: Local/Regional,,Martha Ortiz,Director,Germán Calderón,Graphic Editor,Sonia Rodriguez,Graphic Editor,Ricardo Ramirez,Infographic Editor,Esteban Vanegas,Photographer Editor,Juan Antonio Sanchez,Photographer,Juan David Usuga,Photographer,Simón Upegui,Designer,Carolina Usma,Designer,,,,,,,,,,,,,,,,,,,,,
335,,Gulf News,Dubai,,UNITED ARAB EMIRATES,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,128,,04A,Breaking News Topics,Editor's Choice: Local/Regional,The faces of 981,Talib Jariwala,Deputy Design Editor,SM Arshad,Design Editor,Dwynn Ronald Trazo,Senior Infographist,Muhammad Nahas,Infographist,Mick O’Reilly,Senior Associate Editor,Migel Angel Gomez,Design Director,Mohammed Almezel,Managing Editor,Abdul Hamid Ahmad,Editor-in-Chief,,,,,,,,,,,,,,,,,,,,,,,
153,,Bild am Sonntag,Berlin,,GERMANY,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04B,Breaking News Topics,Editor's Choice: National,Terror in Germany,Saulo Santana,Art Director,Marion Horn,Chief Editor,Thomas Drechsler,Vice Chief Editor,Tanja Müller,Designer,Yvonne Ziermann,Designer,Tina Philipp,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,El,Colombiano,Envigado, ,COLOMBIA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04B,Breaking News Topics,Editor's Choice: National,Huellas de une mineria,Martha Ortiz,Director,Germán Calderón,Graphic Editor,Donaldo Zuluaga,Photographer,Ricardo Ramirez,Infographic Editor,Simón Upegui,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,O,Estado de Sao Paulo,Sao Paulo,,BRAZIL,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04B,Breaking News Topics,Editor's Choice: National,Tragedy in Colombia,Glauco Lara,Assistant Editor,Gisele Oliveira,Infographics,Jonatan Sarmento,3D Illustrator,Marcos Müller,Infographics,Mauro Girao,Infographics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,La,Prensa Gráfica,"202 Antiguo Cuscatlán, La Libertad",,EL SALVADOR,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04B,Breaking News Topics,Editor's Choice: National,Victims of Massacre Committed by Gangs,Enrique Contreras,Design Manager,Héctor Ramirez,Design Editor,Óscar Corvera,Infographic Editor,Jorge Contreras,Infographic Artist,Carlos Aguirre,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04D,Breaking News Topics,Editor's Choice: Sports,Super Bowl 50,Jason Baum,Designer,Vince Chiaramonte,Design Director,Lisa Wilson,Executive Sports Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04D,Breaking News Topics,Editor's Choice: Sports,Banner Day,Margaret Riedel,Lead Sports Designer,Josh Crutchmer,A.M.E.,Tony Lariccia,Designer,Lisa DeJong,Photographer,Gus Chan,Photographer,Joshua Gunter,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04D,Breaking News Topics,Editor's Choice: Sports,Ohio State-Michigan,Tony Lariccia,Designer,Josh Crutchmer,A.M.E.,Marvin Fong,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04D,Breaking News Topics,Editor's Choice: Sports,Blatt Fired,Andrea Zagata,Lead Sports Designer,Tony Lariccia,Designer,Josh Crutchmer,A.M.E.,Chris Morris,Artist,"
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,129,,04D,Breaking News Topics,Editor's Choice: Sports,Fiesta Bowl,Andrea Zagata,Lead Sports Designer,Josh Crutchmer,A.M.E.,Marvin Fong,Photographer,,,"
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,130,,04F,Breaking News Topics,ISIS/Terrorism,Brussells,Dean Tweed,Graphics,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,130,,04F,Breaking News Topics,ISIS/Terrorism,In Turkey a military coup,Mike Faille,Graphic Artist,Dean Tweed,Graphic Artist,Geneviéve Biloski,Features Design Director,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,
349,The,(London) Sunday Times,London,,ENGLAND,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,131,,04E,Breaking News Topics,Obituaries,Section 1 Wrap for Muhammad Ali,James  Hunter,Assistant Art Director,Sarah Baxter,Deputy Editor,Russel Hermerman,Art Director,Ray Wells,Picture Editor,Kevin Hayes,Deputy Picture Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,Clarín,Buenos Aires, ,ARGENTINA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,131,,04E,Breaking News Topics,Obituaries,Death of Fidel Castro,Gustavo Lo Valvo,Design Director,Hugo Scapparone,Designer,Jorge Casella,Design Editor,Martin Marpons,Design Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,El,Colombiano,Envigado, ,COLOMBIA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,131,,04E,Breaking News Topics,Obituaries,,Martha Ortiz,Director,Germán Calderón,Graphic Editor,Sonia Rodriguez,Graphic Editor,Ricardo Ramirez,Infographic Editor,Carolina Usma,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,131,,04E,Breaking News Topics,Obituaries,Robert Ford’s Death,Chloe Cushmanl,Illustrator,Geneviéve Biloski,Features Design Director,Julie Traves,Deputy Editor,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,
245,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,131,,04E,Breaking News Topics,Obituaries,He was the game,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,132,,04E,Breaking News Topics,Obituaries,Muhammad Ali,Josh Crutchmer,A.M.E.,Andrea Zagata,Lead Sports Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,132,,04E,Breaking News Topics,Obituaries,John Glenn,Josh Crutchmer,A.M.E.,Lisa Dejon,Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,,Politiken,Copenhagen,,DENMARK,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,132,,04E,Breaking News Topics,Obituaries,Goodbye to the former Danish prime minister and social democrat Anker Jergensen,Søren Nyeland,Design Editor,Anne Mette  Svane,Editor-in-Chief,Per Bergsbo,Page Designer,Morten Skjoldager,News Editor,Roald  Als,Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,Berliner Morgenpost,Berlin,,GERMANY,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,132,,04G,Breaking News Topics,Politics/Elections,So hat Berlin gewählt,Carsten Erdmann,Editor-in-Chief,Hans-Juergen Polster,Art Director,Tanja Rylewicz,Designer,Volker Plath,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,133,,04G,Breaking News Topics,Politics/Elections,Election Night,Josh Crutchmer,A.M.E.,Tony Lariccia,Designer,Margaret Riedel,Lead Sports Designer,Jane Mitchell,Lead Features Designer,Daryl Kannberg,Production Director,Lynn Ischay,Photo Director,Gus  Chan,Photographer,Marvin Fong,Photographer,Chris Morris,Artist,,,,,,,,,,,,,,,,,,,,,
418,,Politiken,Copenhagen,,DENMARK,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,133,,04G,Breaking News Topics,Politics/Elections,Congrats!,Søren Nyeland,Design Editor,Anne Mette  Svane,Editor-in-Chief,Kaspar Busch,Page Designer,Peter Schøler,News Editor,Phillip Ytournel,Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,El,Telégrafo,Guayaquil, ,ECUADOR,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,133,,04G,Breaking News Topics,Politics/Elections,Donald John Trump. El nuevo presidente de Estados Unidos,Carlos Proaño,Jefe de Infografia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-BNT,Harley,,133,,04H,Breaking News Topics,Summer Olympics in Rio,Summer Olympics in Rio,David Yasvinski,Designer,Bev Wake,Sports Editor,Raina Toomey,Pes Production Editor,Rene McKnight,Pes Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,Harley,,134,,11D,Editorial Cartoons,,Girl on bus,Adam Zyglis,Editorial Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,The,Buffalo News,Buffalo,N.Y.,,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,Harley,,134,,11D,Editorial Cartoons,,Trump  Pinocchio,Adam Zyglis,Editorial Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Los Angeles Times,Los Angeles,Calif.,,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,Harley,,134,,11D,Editorial Cartoons,,Ted Cruz,David Horsey,Editorial Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Minneapolis Star Tribune,Minneapolis,Minn.,,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,Harley,,134,,11D,Editorial Cartoons,,The fantastic four,Steve Sack,Cartoonist,Scott Gillespie,Editorial Pages Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,Harley,,135,,11D,Editorial Cartoons,,The Trump White House,Gary Clement,Cartoonist,Ania Medrek,Lead Designer,Jordan Timm,News Editor,Mick Higgins,NP2 Editor,Anne Marie Owens,Editor-in-Chief,Gayle Grin,Creative Director,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,National Post,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-OPINION,Harley,,134,,11D,Editorial Cartoons,,Week in Review ,Gary Clement,Editorial Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,,Chicago Tribune,Chicago,Ill.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,112,,03Aa,News Design [Pages],"A-Section/Broadsheet 175,000 and over",A section of Page Ones,MacQueen Brian,Editor/Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,The,Globe and Mail,Toronto,Ont.,CANADA,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,112,,03Aa,News Design [Pages],"A-Section/Broadsheet 175,000 and over",Will Trump,Matt Frehner,Head of Presentation,Jason Chiu,Deputy Head of Presentation,Matt French,Assistant Art Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,Die,Zeit,Hamburg,,GERMANY,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,127,,03Aa,News Design [Pages],"A-Section/Broadsheet 175,000 and over",Die Mach Der Beleidigten,Malin Schulz,Art Director,Haika Hinze,Art Director,Jan Kny,Deputy Art Director,Ellen Dietrich,Director/Photography,Staff ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,The,Tennessean,Nashville,Tenn.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,116,,03Ab,News Design [Pages],"A-Section/Broadsheet 50,000-174,999",Merle Haggard dies,Bill Campling,Designer,Merry Eccles,Designer,Lindsey Turner,Creative Director,Michael Anastasi,Executive Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,,Dagens Nyheter,Stockholm,,SWEDEN,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,114,,03Ad,News Design [Pages],"A-Section/Compact 175,000 and over",Children dies - while we are passively....,Gustav F. Andersson,Page Designer,Jorgen Jonasson,Editor,Pia Skagermark,Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,,Metro São Paulo,São Paulo,,BRAZIL,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,116,,03Ae,News Design [Pages],"A-Section/Compact 50,000-174,999",Bob Dylan awarded the Nobel prize in literature,Luiz Rivoiro,Editor-in-Chief,Vitor Iwasso,Executive Art Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,Metro São Paulo,São Paulo,,BRAZIL,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,116,,03Ae,News Design [Pages],"A-Section/Compact 50,000-174,999",Joao Doria elected new mayor of Sao Paulo,Luiz Rivoiro,Editor-in-Chief,Vitor Iwasso,Executive Art Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,,Reporte Indigo,Mexico City, ,MEXICO,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,122,,03Ae,News Design [Pages],"A-Section/Compact 50,000-174,999",God Bless Mexico,Antonio Navalon,Deputy Vice-President,Armando Estrop,Editorial Director,Cesar Cepeda,Information Director,Adrian Nandayapa,Design & Art Director,Francisco Lagos,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,126,,03Da,News Design [Pages],"Business/Broadsheet 175,000 and over",Visions of the Future,Robert Davis,Designer,Ben Wiseman,Illustrator,Brian Gross,Deputy Design Director,Greg Manifold,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,Times of Oman,Muscat,,OMAN,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,124,,03Dc,News Design [Pages],"Business/Broadsheet 49,999 and under",Fishing for Stars,Ahmed Essa Al Zedjali,CEO,Adonis Durado,Chief Creative Officer,Scott Armstrong,Chief Executive Editor,Antonio Ismael Sandiego,Designer,A.E. James,Business Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,Times of Oman,Muscat,,OMAN,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,124,,03Dc,News Design [Pages],"Business/Broadsheet 49,999 and under",Dubai Defies Bank Cuts - 25.09.2016,Ahmed Essa Al Zedjali,CEO,Adonis Durado,Chief Creative Officer,Mohammad Sheath Hanief,Designer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,The,Boston Globe,Boston,Mass.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,113,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Life and Loss on Methadone Mile,Omar Vega,"Assistant Design Director, News",Lloyd Young,Picture Editor,Mark Morrow,Senior Deputy Managing Editor,William Green,Director of Photography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,,Dagens Nyheter,Stockholm,,SWEDEN,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,114,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",The true face of war - a still life of evil,Jörgen Jonasson,Editor,Mathias Jonsson,Page Designer,Erik Ohlsson,Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,La,Nación,Vicente Lopez,,ARGENTINA,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,120,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",La peor tragedia,Ana Gueller,Art Director,Fernando Gutierrez,Photo Editor in Chief,Maria Rodriguez Alcobendas,Design Editor,Andrea Platon,Design Editor,Maria Helena Garcia,Design Editor,Silvina Nicastro,Design Editor,Marina Vagliente,Design Editor,Daniel Ravaschieri,Designer,Andres Perez,Designer,Jorge Portaz,Graphic Editor,,,,,,,,,,,,,,,,,,,
586,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,118,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over","‘I, Too, Sing America’",Wayne Kamidoi,Designer,Fred Bierman,Art Director,Alicia DeSantis,Graphic Editor,Anjali Singhvi,Graphics Editor,Laura ONeill,Picture Editor,Kevin Flynn,Section Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,118,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over","41 Elections, 11/7 A1",Wayne Kamidoi,Designer,Fred Bierman,Designer,Tom Jolly,Section Editor,Elena Gustines,Staff Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,The,New York Times,New York,N.Y.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,118,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Refugees Hear a Foreign Word: Welcome,Fred Bierman,Designer,Beth Flynn,Picture Editor,Rebecca Corbett,Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,The,Plain Dealer,Cleveland,Ohio,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,117,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Hough: 50 Years Later,Jane Mitchell,Lead Features Designer,Josh Crutchmer,A.M.E.,Daryl Kannberg,Publications Director,Lisa DeJong,Photographer,Lynn Ischay,Photo Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,The,Washington Post,Washington,D.C.,,Award of Excellence,06-NEWS,,06-NEWS,06-PAGES,Anna H,,126,,03Ga,News Design [Pages],"Cover Story/Broadsheet 175,000 and over",Tim Cook,Madia Brown,Art Director,Andrew Burton,Photographer,Kelly Johnson,Editor,Thomas Simonetti,Photo Editor,Greg Manifold,Design Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
